diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType
C3553607	MITOCHONDRIAL PYRUVATE CARRIER DEFICIENCY	disease		Disease or Syndrome
C1334410	Localized Primitive Neuroectodermal Tumor	disease	C04	Neoplastic Process
C1334970	Medulloblastoma with extensive nodularity	disease	C04	Neoplastic Process
C4540342	JOUBERT SYNDROME 32	disease		Disease or Syndrome
C4551573	UNCOMBABLE HAIR SYNDROME 1	disease	C17	Disease or Syndrome
C2316810	Chronic kidney disease stage 5	disease	C13;C12	Disease or Syndrome
C4748044	POLYCYSTIC KIDNEY DISEASE 6 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE	disease		Disease or Syndrome
C1291512	Beta-Ureidopropionase Deficiency	disease	C16;C18;C10	Disease or Syndrome
C3280452	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12	disease		Disease or Syndrome
C4015519	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 28	disease		Disease or Syndrome
C3808802	DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 4	disease		Disease or Syndrome
C3808977	CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 4	disease		Disease or Syndrome
C0024814	Marinesco-Sjogren syndrome	disease	C16;C10	Disease or Syndrome
C4479410	MUSCULAR DYSTROPHY, CONGENITAL, WITH CATARACTS AND INTELLECTUAL DISABILITY	disease		Disease or Syndrome
C4225167	SPLIT-FOOT MALFORMATION WITH MESOAXIAL POLYDACTYLY	disease		Disease or Syndrome
C4540345	MYOPATHY, CENTRONUCLEAR, 6, WITH FIBER-TYPE DISPROPORTION	disease		Disease or Syndrome
C3151204	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 16	disease		Disease or Syndrome
C0274869	Toxic effect of heavy metal	disease	C25	Injury or Poisoning
C2750798	Polymicrogyria With Optic Nerve Hypoplasia	disease	C16;C10	Disease or Syndrome
C0031036	Polyarteritis Nodosa	disease	C17;C14	Disease or Syndrome
C0282492	Sneddon Syndrome	disease	C17;C10;C14	Disease or Syndrome
C3887654	POLYARTERITIS NODOSA, CHILDHOOD-ONSET	disease	C17;C14	Disease or Syndrome
C0003635	Apraxias	group	C23;C10;F01	Mental or Behavioral Dysfunction
C0234526	Ideational Apraxia	disease	C23;C10;F01	Mental or Behavioral Dysfunction
C0234527	Apraxia, Motor	phenotype	C23;C10;F01	Pathologic Function
C0234529	Dressing Apraxia	phenotype	C23;C10;F01	Mental or Behavioral Dysfunction
C0349391	Apraxia, Verbal	disease	C23;C10;F01	Mental or Behavioral Dysfunction
C0422892	Apraxia, Gestural	phenotype	C23;C10;F01	Mental or Behavioral Dysfunction
C0454608	Apraxia, Oral	disease	C23;C10;F01	Mental or Behavioral Dysfunction
C0750927	Apraxia, Developmental Verbal	disease	C23;C10;F01	Mental or Behavioral Dysfunction
C0750928	Apraxia, Facial-Oral	phenotype	C23;C10;F01	Mental or Behavioral Dysfunction
C3495144	Apraxia, Articulatory	phenotype	C23;C10;F01	Mental or Behavioral Dysfunction
C4310833	INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN	disease		Disease or Syndrome
C0520757	Delayed Emergence from Anesthesia	phenotype	C23	Pathologic Function
C4042763	Postoperative Residual Curarization	phenotype	C23	Pathologic Function
C4015050	DEAFNESS, AUTOSOMAL RECESSIVE 103	disease		Disease or Syndrome
C4693688	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 61	disease		Disease or Syndrome
C2676023	Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant	disease	C18	Disease or Syndrome
C2676024	CAROTENOIDS, PLASMA LEVEL OF, QUANTITATIVE TRAIT LOCUS 1	phenotype		Finding
C0007001	Carbohydrate Metabolism, Inborn Errors	group	C16;C18	Disease or Syndrome
C1846784	Deafness, Autosomal Recessive 30	disease	C23;C10;C09	Disease or Syndrome
C3553932	DEAFNESS, AUTOSOMAL RECESSIVE 98	disease		Disease or Syndrome
C4748560	ECTODERMAL DYSPLASIA 14, HAIR/TOOTH TYPE WITH OR WITHOUT HYPOHIDROSIS	disease		Disease or Syndrome
C0406733	Curly hair-ankyloblepharon-nail dysplasia syndrome	disease	C23;C11;C17	Disease or Syndrome
C1849718	POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE	disease	C16;C11;C05;C07	Disease or Syndrome
C0018193	Granuloma, Foreign-Body	phenotype	C23;C26	Pathologic Function
C4310787	CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION	disease		Disease or Syndrome
C1864872	Spondyloepimetaphyseal dysplasia, Genevieve type	disease	C23;C16;C17;C05;C10;F03;F01	Disease or Syndrome
C2677608	Thrombocytopenia 4	disease	C15	Disease or Syndrome
C4748657	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 2	disease		Disease or Syndrome
C1842197	Charcot-Marie-Tooth Disease, Recessive Intermediate A	disease	C16;C10	Disease or Syndrome
C1842983	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K	disease	C16;C10	Disease or Syndrome
C1843183	Charcot-Marie-Tooth disease, Type 4A, axonal form	disease	C16;C10	Disease or Syndrome
C1859198	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4A (disorder)	disease	C16;C10	Disease or Syndrome
C2752007	Congenital Disorder of Glycosylation, Type Io	disease	C16;C18	Disease or Syndrome
C4510743	Carbohydrate deficient glycoprotein syndrome type 1o	disease	C16;C18	Disease or Syndrome
C1843004	HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA SYNDROME	disease	C17;C15;C14	Disease or Syndrome
C4317151	Hypotrichosis, lymphedema, telangiectasia, renal defect syndrome	disease	C17;C15;C14	Disease or Syndrome
C2675014	Mullerian Aplasia and Hyperandrogenism	disease	C16;C13;C12;C19	Disease or Syndrome
C2678492	Sex Reversal, Female, With Dysgenesis Of Kidneys, Adrenals, And Lungs	disease	C16;C13;C12;C08;C19	Disease or Syndrome
C1845341	ASPERGER SYNDROME, X-LINKED, SUSCEPTIBILITY TO, 1 (disorder)	disease		Disease or Syndrome
C1845540	AUTISM, X-LINKED, SUSCEPTIBILITY TO, 1 (finding)	disease		Finding
C3150797	AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 6	disease		Finding
C4014993	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 8	disease		Disease or Syndrome
C2751321	Macrocephaly, Alopecia, Cutis Laxa, and Scoliosis	disease	C23;C16;C17;C05;C10	Disease or Syndrome
C2751092	Neuropathy, Hereditary Sensory And Autonomic, Type IIB	disease	C16;C10	Disease or Syndrome
C4310689	SHORT STATURE, BRACHYDACTYLY, INTELLECTUAL DEVELOPMENTAL DISABILITY, AND SEIZURES	disease		Disease or Syndrome
C1859252	Cerebrofaciothoracic Dysplasia	disease	C23;C16;C10;F03;F01	Disease or Syndrome
C1644196	Ectopia Lentis with Ectopia of Pupil	disease	C23;C16;C11;C10	Disease or Syndrome
C2673634	Ectopia Lentis, Isolated, Autosomal Recessive	disease	C16;C11	Disease or Syndrome
C3541474	ECTOPIA LENTIS 2, ISOLATED, AUTOSOMAL RECESSIVE	disease		Disease or Syndrome
C4225421	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 3	disease		Disease or Syndrome
C4746985	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 30	disease		Disease or Syndrome
C3809877	Prader-Willi-like syndrome	disease	C23;C18	Disease or Syndrome
C4225271	ADAMS-OLIVER SYNDROME 6	disease		Disease or Syndrome
C1853286	Erythrocytosis, Familial, 3	disease	C15	Disease or Syndrome
C4551683	Adrenal Gland Pheochromocytoma	disease	C04;C19	Neoplastic Process
C3714980	BARDET-BIEDL SYNDROME 17	disease		Disease or Syndrome
C0010324	Crigler Najjar syndrome, type 1	disease	C16;C18	Disease or Syndrome
C0022610	Kernicterus	disease	C23;C16;C18;C20;C10;C15	Disease or Syndrome
C0270210	Lucey-Driscoll syndrome (disorder)	disease	C23;C16;C18	Disease or Syndrome
C2931132	Crigler Najjar syndrome, type 2	disease	C16;C18	Disease or Syndrome
C4693779	LEUKODYSTROPHY, HYPOMYELINATING, 16	disease		Disease or Syndrome
C4693848	JABERI-ELAHI SYNDROME	disease		Disease or Syndrome
C1837429	Pyruvate dehydrogenase phosphatase deficiency	disease	C18	Disease or Syndrome
C0268654	Iminoglycinuria	disease	C16;C18;C13;C12	Disease or Syndrome
C0543541	HYPERGLYCINURIA (disorder)	disease	C16;C18;C13;C12	Disease or Syndrome
C3808975	HYPOGONADOTROPIC HYPOGONADISM 18 WITH OR WITHOUT ANOSMIA	disease		Disease or Syndrome
C2931783	Amelogenesis imperfecta nephrocalcinosis	disease	C16;C18;C13;C12;C07	Disease or Syndrome
C4310695	ANIRIDIA 3	disease		Congenital Abnormality
C1837615	Ciliary Dyskinesia, Primary, 5	disease	C16;C08;C09	Disease or Syndrome
C0002894	Refractory anaemia with excess blasts	disease	C15	Neoplastic Process
C0280449	secondary acute myeloid leukemia	disease	C04	Neoplastic Process
C1292773	Acute myeloid leukemia with multilineage dysplasia	disease	C04	Neoplastic Process
C1970298	Progressive Familial Heart Block, Type Ib	disease	C23;C14	Disease or Syndrome
C0238506	Congenital posterior urethral valves	disease	C16;C13;C12	Congenital Abnormality
C4310631	EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZED, WITH SCARRING AND HAIR LOSS	disease		Disease or Syndrome
C4693466	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 35	disease		Disease or Syndrome
C0037768	Spasmophilia	phenotype	C23;C18;C10	Disease or Syndrome
C0039621	Tetany	disease	C23;C18;C10	Finding
C0270224	Tetany, Neonatal	disease	C23;C18;C10	Disease or Syndrome
C0917812	Tetanilla	phenotype	C23;C18;C10	Disease or Syndrome
C3151295	HYPOMAGNESEMIA 6, RENAL	disease		Disease or Syndrome
C4225333	HYPOMAGNESEMIA, SEIZURES, AND MENTAL RETARDATION	disease		Disease or Syndrome
C1837713	JOUBERT SYNDROME 3	disease	C23;C11;C10	Disease or Syndrome
C4274118	Joubert syndrome with ocular defect	disease	C16;C13;C11;C12	Disease or Syndrome
C0265286	Dyggve-Melchior-Clausen syndrome	disease	C23;C16;C05;C10;C19;F03;F01	Disease or Syndrome
C1844654	X-linked Dyggve-Melchior-Clausen syndrome	disease	C23;C16;C05;C10;C19;F03;F01	Disease or Syndrome
C1846431	SMITH-MCCORT DYSPLASIA	disease	C16;C05	Disease or Syndrome
C3888088	SMITH-MCCORT DYSPLASIA 1	disease	C16;C05	Disease or Syndrome
C1864861	Tumoral Calcinosis, Normophosphatemic, Familial	disease	C16;C18;C05	Disease or Syndrome
C4284088	MIRAGE SYNDROME	phenotype	C23	Disease or Syndrome
C0020225	Hydranencephaly	disease	C16;C10	Congenital Abnormality
C1857977	MICROHYDRANENCEPHALY	disease	C16;C05;C10	Disease or Syndrome
C3151461	LISSENCEPHALY 4	disease		Disease or Syndrome
C4225186	PARKINSON DISEASE 23, AUTOSOMAL RECESSIVE EARLY-ONSET	disease		Disease or Syndrome
C4693935	DEAFNESS, AUTOSOMAL RECESSIVE 109	disease		Disease or Syndrome
C1838023	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 3	disease	C23;C10;F03;F01	Disease or Syndrome
C4693824	VERVERI-BRADY SYNDROME	disease		Disease or Syndrome
C4310794	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 53	disease		Disease or Syndrome
C1846265	Microphthalmia, syndromic 2	disease	C16;C11;C14	Disease or Syndrome
C1970199	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 5	disease	C23;C10;F03;F01	Disease or Syndrome
C4296896	Hyperplastic polyposis syndrome	disease	C16;C06;C04	Neoplastic Process
C4310714	SESSILE SERRATED POLYPOSIS CANCER SYNDROME	disease		Neoplastic Process
C3554605	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 2	disease		Disease or Syndrome
C0151650	Renal fibrosis	disease	C23;C13;C12	Disease or Syndrome
C2673873	BARDET-BIEDL SYNDROME 13	disease	C16;C11;C10	Disease or Syndrome
C4310705	JOUBERT SYNDROME 28	disease		Disease or Syndrome
C3543825	CILIARY DYSKINESIA, PRIMARY, 18	disease		Disease or Syndrome
C3279757	CHONDRODYSPLASIA WITH JOINT DISLOCATIONS, GPAPP TYPE	disease		Disease or Syndrome
C4310773	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 30	disease		Disease or Syndrome
C4748527	NEURODEGENERATION, CHILDHOOD-ONSET, STRESS-INDUCED, WITH VARIABLE ATAXIA AND SEIZURES	disease		Disease or Syndrome
C3151209	Hyperuricemia, pulmonary hypertension, renal failure, alkalosis syndrome	disease	C23;C18;C13;C11;C05;C12;C08;C10;C14	Disease or Syndrome
C4015710	TENORIO SYNDROME	disease		Disease or Syndrome
C1866552	PARAGANGLIOMAS 2 (disorder)	disease	C16;C04	Disease or Syndrome
C3279699	Encephalocardiomyopathy, Mitochondrial, Neonatal, Due To Atp Synthase Deficiency	disease	C18;C05;C10	Disease or Syndrome
C3554067	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11	disease		Disease or Syndrome
C4693860	DEVELOPMENTAL DELAY, INTELLECTUAL DISABILITY, OBESITY, AND DYSMORPHIC FEATURES	disease		Disease or Syndrome
C3281160	EHLERS-DANLOS SYNDROME, KYPHOSCOLIOTIC TYPE, 2	disease		Disease or Syndrome
C1863688	Xanthinuria, Type II	disease	C16;C18	Disease or Syndrome
C3151136	CILIARY DYSKINESIA, PRIMARY, 14	disease	C16;C08;C09	Disease or Syndrome
C3151137	CILIARY DYSKINESIA, PRIMARY, 15	disease	C16;C08;C09	Disease or Syndrome
C1970207	Inflammatory Bowel Disease 10	disease	C06	Disease or Syndrome
C0035528	Riboflavin Deficiency	disease	C18	Disease or Syndrome
C4693651	OROFACIODIGITAL SYNDROME XVIII	disease		Disease or Syndrome
C3150924	MENTAL RETARDATION, ANTERIOR MAXILLARY PROTRUSION, AND STRABISMUS	disease		Disease or Syndrome
C0022739	Klippel-Trenaunay-Weber Syndrome	disease	C14	Disease or Syndrome
C0432197	Short rib-polydactyly syndrome, Verma-Naumoff type	disease	C16;C05	Disease or Syndrome
C3809691	SHORT-RIB THORACIC DYSPLASIA 8 WITH OR WITHOUT POLYDACTYLY	disease		Disease or Syndrome
C3469528	FANCONI ANEMIA, COMPLEMENTATION GROUP L	disease		Disease or Syndrome
C3150998	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 10	disease		Disease or Syndrome
C3809548	CILIARY DYSKINESIA, PRIMARY, 23	disease		Disease or Syndrome
C2677535	Alopecia, Neurologic Defects, and Endocrinopathy Syndrome	disease	C23;C17;C10;C19;F03;F01	Disease or Syndrome
C3151442	DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 3	disease		Disease or Syndrome
C1414216	Dystonia 6, torsion (disorder)	disease	C16;C10	Disease or Syndrome
C3150925	SPASTIC ATAXIA 4, AUTOSOMAL RECESSIVE	disease		Disease or Syndrome
C3554428	OSTEOGENESIS IMPERFECTA, TYPE XIV	disease		Disease or Syndrome
C4540096	MYOPATHY, MITOCHONDRIAL, AND ATAXIA	disease		Disease or Syndrome
C1970180	Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation	disease	C18;C10	Disease or Syndrome
C4521564	FANCONI ANEMIA, COMPLEMENTATION GROUP W	disease		Disease or Syndrome
C1864723	Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	disease	C23;C18;C10;C14	Disease or Syndrome
C1856053	Hydranencephaly with Renal Aplasia-Dysplasia	disease	C16;C13;C12;C10	Disease or Syndrome
C2675867	CILIARY DYSKINESIA, PRIMARY, 10	disease	C16;C08;C09	Disease or Syndrome
C3280538	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 27	disease		Disease or Syndrome
C1846492	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 4	disease	C16;C10	Disease or Syndrome
C0426706	Absent kidney	phenotype		Finding
C3810406	MENTAL RETARDATION, AUTOSOMAL DOMINANT 23	disease		Disease or Syndrome
C4310677	HAREL-YOON SYNDROME	disease		Disease or Syndrome
C1859565	BARDET-BIEDL SYNDROME 7	disease	C16;C11;C10	Disease or Syndrome
C1867332	Reticular Dystrophy Of Retinal Pigment Epithelium	disease	C11	Disease or Syndrome
C4310680	RETINAL DYSTROPHY WITH OR WITHOUT EXTRAOCULAR ANOMALIES	disease		Disease or Syndrome
C3280346	MYOPIA, HIGH, WITH CATARACT AND VITREORETINAL DEGENERATION	disease		Disease or Syndrome
C1836861	FANCONI ANEMIA, COMPLEMENTATION GROUP I	disease	C16;C18;C15	Disease or Syndrome
C3550875	AUTISM, SUSCEPTIBILITY TO, X-LINKED 6	disease		Disease or Syndrome
C0002884	Hypochromic anemia	disease	C15	Disease or Syndrome
C3808920	ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 2	disease		Disease or Syndrome
C1865267	Arterial Occlusive Disease, Progressive, with Hypertension, Heart Defects, Bone Fragility, and Brachysyndactyly	disease	C16;C05;C14	Disease or Syndrome
C4310641	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 58	disease		Disease or Syndrome
C4310672	SHASHI-PENA SYNDROME	disease		Disease or Syndrome
C4225160	NUDT15 deficiency	disease		Disease or Syndrome
C4014488	PONTOCEREBELLAR HYPOPLASIA, TYPE 2E	disease	C16;C10	Disease or Syndrome
C3532239	Mitochondrial cardiomyopathy	disease		Disease or Syndrome
C4015301	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 17	disease		Disease or Syndrome
C0019618	Histiocytosis	disease	C15	Neoplastic Process
C0019625	Sinus histiocytosis	disease	C15	Disease or Syndrome
C1864445	Histiocytosis with joint contractures and sensorineural deafness	disease	C23;C05;C10;C09;C15	Disease or Syndrome
C1840572	HIP DYSPLASIA, BEUKES TYPE	disease	C16;C05	Disease or Syndrome
C4693799	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, DI ROCCO TYPE	disease		Disease or Syndrome
C4540358	LEUKODYSTROPHY, PROGRESSIVE, EARLY CHILDHOOD-ONSET	disease		Disease or Syndrome
C0398739	Congenital disorder of glycosylation, type 2C	disease	C16;C18	Disease or Syndrome
C3714987	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 17	phenotype		Finding
C1300287	Transient neonatal hyperparathyroidism	phenotype	C23;C19	Disease or Syndrome
C1857144	DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1	disease		Disease or Syndrome
C3502105	Dyskeratosis Congenita, Autosomal Recessive	disease	C16;C17;C15	Disease or Syndrome; Congenital Abnormality
C1859817	2-AMINOADIPIC 2-OXOADIPIC ACIDURIA	disease		Finding
C3554366	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Q	disease		Disease or Syndrome
C2750442	Hypermanganesemia with Dystonia Polycythemia and Cirrhosis	disease	C18	Disease or Syndrome
C4748791	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 19	disease		Disease or Syndrome
C4693736	OSTEOGENESIS IMPERFECTA, TYPE XVIII	disease		Disease or Syndrome
C1851102	Fibrosis Of Extraocular Muscles, Congenital, 1	disease	C23;C16;C11;C10	Disease or Syndrome
C2751105	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3B (disorder)	disease	C23;C16;C11;C10	Disease or Syndrome
C0406557	Poikiloderma of Kindler	disease	C23;C16;C17;C07	Disease or Syndrome
C4749033	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 68	disease		Disease or Syndrome
C3150412	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 3	disease		Disease or Syndrome
C3150417	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 3	disease		Disease or Syndrome
C3151519	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 3	disease	C16;C05;C10	Disease or Syndrome
C4310704	RETINITIS PIGMENTOSA 76	disease		Disease or Syndrome
C0221036	Acrodermatitis enteropathica	disease	C16;C17	Disease or Syndrome
C1837461	SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3	disease		Finding
C3552553	HYPOGONADOTROPIC HYPOGONADISM 5 WITH OR WITHOUT ANOSMIA	disease		Disease or Syndrome
C1856972	Encephaloclastic Proliferative Vasculopathy	disease	C16;C10	Disease or Syndrome
C3203738	Fowler syndrome	disease	C13;C12	Disease or Syndrome
C4540266	GALLOWAY-MOWAT SYNDROME 3	disease		Disease or Syndrome
C4551502	HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 1	disease	C23;C16;C18;C10;F03;F01	Disease or Syndrome
C3151441	DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2	disease		Disease or Syndrome
C3553951	PEROXISOME BIOGENESIS DISORDER 7B	disease	C16;C18	Disease or Syndrome
C3888385	PEROXISOME BIOGENESIS DISORDER 7A (ZELLWEGER)	disease	C16;C18	Disease or Syndrome
C4022537	Triangular tongue	disease	C07	Disease or Syndrome
C4225192	MUSCULAR DYSTROPHY, AUTOSOMAL RECESSIVE, WITH CARDIOMYOPATHY AND TRIANGULAR TONGUE	disease		Disease or Syndrome
C3278664	LIVER FAILURE, INFANTILE, TRANSIENT	disease		Disease or Syndrome
C3554343	MENTAL RETARDATION, AUTOSOMAL DOMINANT 17	disease	C23	Disease or Syndrome
C4225193	CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA	disease		Disease or Syndrome
C4310743	STRIATONIGRAL DEGENERATION, CHILDHOOD-ONSET	disease		Disease or Syndrome
C4014942	CATARACTS, GROWTH HORMONE DEFICIENCY, SENSORY NEUROPATHY, SENSORINEURAL HEARING LOSS, AND SKELETAL DYSPLASIA	disease		Disease or Syndrome
C1859301	Cerebellar hypoplasia with endosteal sclerosis	phenotype	C23;C05;C10	Disease or Syndrome
C3280644	LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM	disease		Disease or Syndrome
C3554592	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 9	disease		Disease or Syndrome
C3540450	HYPOGONADOTROPIC HYPOGONADISM 14 WITH OR WITHOUT ANOSMIA	disease		Disease or Syndrome
C1838654	Nivelon Nivelon Mabille syndrome	disease	C16;C13;C05;C12;C19	Disease or Syndrome
C3280133	PARKINSON DISEASE 17	disease		Disease or Syndrome
C4748549	NEPHROTIC SYNDROME, TYPE 18	disease		Disease or Syndrome
C3553494	CATARACT 38	disease		Disease or Syndrome
C1858108	Microcephaly, Primary Autosomal Recessive, 3	disease	C16;C05;C10	Disease or Syndrome
C0037932	Curvature of spine	phenotype	C05	Finding
C0432198	Short rib-polydactyly syndrome, Beemer type	disease	C16;C05	Disease or Syndrome
C4748083	INFLAMMATORY BOWEL DISEASE 29	disease		Disease or Syndrome
C4540164	PONTOCEREBELLAR HYPOPLASIA, TYPE 11	disease		Congenital Abnormality
C1846574	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE, WITH AXONAL NEUROPATHY	disease	C16;C10	Disease or Syndrome
C1969562	Mental Retardation, Autosomal Dominant 1	disease	C23;C10;F03;F01	Disease or Syndrome
C4304532	2q23.1 microdeletion syndrome	disease		Disease or Syndrome
C4539824	SPERMATOGENIC FAILURE 20	disease		Disease or Syndrome
C3809872	PERIVENTRICULAR NODULAR HETEROTOPIA 6	disease		Disease or Syndrome
C4304514	6q terminal deletion syndrome	disease		Disease or Syndrome
C2675463	Chromosome 15q26-Qter Deletion Syndrome	disease	C23;C16;C05;C10;F03;F01	Disease or Syndrome
C2237660	exudative macular degeneration	disease	C11	Disease or Syndrome
C1848578	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblF TYPE (disorder)	disease	C16;C18	Disease or Syndrome
C2751088	Brugada Syndrome 7	disease	C16;C14	Disease or Syndrome
C0263505	Alopecia universalis	disease	C23;C17	Disease or Syndrome
C1859592	ATRICHIA WITH PAPULAR LESIONS	disease	C23;C17	Disease or Syndrome
C1859877	Alopecia universalis congenita	disease	C23;C17	Congenital Abnormality
C2750815	Marie Unna Hereditary Hypotrichosis 1	disease	C17	Disease or Syndrome
C2931059	Marie Unna congenital hypotrichosis	disease	C17	Disease or Syndrome
C0342639	Familial idiopathic hypercalciuria	disease	C23	Congenital Abnormality
C0543800	Idiopathic hypercalciuria	disease	C23	Disease or Syndrome
C1858677	LEBER CONGENITAL AMAUROSIS 3 (disorder)	disease	C16;C11	Disease or Syndrome
C2751780	Retinitis Pigmentosa, Juvenile, SPATA7-Related	disease	C16;C11	Disease or Syndrome
C4225247	LEUKODYSTROPHY, HYPOMYELINATING, 12	disease		Disease or Syndrome
C1842109	Microcephaly, Primary Autosomal Recessive, 6	disease	C16;C05;C10	Disease or Syndrome
C3888212	SECKEL SYNDROME 4	disease		Disease or Syndrome
C3151037	ACNE INVERSA, FAMILIAL, 2, WITH OR WITHOUT DOWLING-DEGOS DISEASE	disease		Disease or Syndrome
C4014312	RETINITIS PIGMENTOSA 69	disease		Disease or Syndrome
C3553571	Carbohydrate deficient glycoprotein syndrome type 2k	disease	C16;C18;C05	Disease or Syndrome
C4748830	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 29	disease		Disease or Syndrome
C1839736	WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME	disease	C23;C16;C18;C17;C10	Disease or Syndrome
C3550903	CORNELIA DE LANGE SYNDROME 5	disease		Disease or Syndrome
C4540478	MENTAL RETARDATION, AUTOSOMAL DOMINANT 52	disease		Mental or Behavioral Dysfunction
C4025874	Abnormality of skull size	phenotype		Anatomical Abnormality
C0796200	Wieacker-Wolff syndrome	disease	C23;C16;C11;C05;C10;F01	Disease or Syndrome
C1839735	MILES-CARPENTER X-LINKED MENTAL RETARDATION SYNDROME	disease	C16;C10	Disease or Syndrome
C4706574	KLHL9-related early-onset distal myopathy	disease	C16;C05;C10	Disease or Syndrome
C4748799	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 23	disease		Disease or Syndrome
C0796232	Bohring syndrome	disease	C23;C16;C05;C10;F03;F01	Disease or Syndrome
C2751986	RETINITIS PIGMENTOSA 42	disease	C16;C11	Disease or Syndrome
C4310742	CRISPONI/COLD-INDUCED SWEATING SYNDROME 3	disease		Disease or Syndrome
C1415817	HETEROTAXY, VISCERAL, 2, AUTOSOMAL	disease		Disease or Syndrome
C4274029	Biliary atresia with splenic malformation syndrome	disease	C16;C06	Disease or Syndrome
C4310793	HEART AND BRAIN MALFORMATION SYNDROME	disease		Disease or Syndrome
C2931005	Congenital disorder of glycosylation type 1K	disease	C16;C18	Disease or Syndrome
C1839841	SPERMATOGENIC FAILURE, X-LINKED, 2	disease		Disease or Syndrome
C4310653	LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME	disease		Disease or Syndrome
C0856830	Calcium pyrophosphate arthropathy	disease	C05	Disease or Syndrome
C1852502	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	disease	C05;C07	Disease or Syndrome
C4015360	NEMALINE MYOPATHY 10	disease		Disease or Syndrome
